% Model,Relay.mph
% Version,COMSOL 5.5.0.359
% Date,"May 15 2020, 13:11"
% Table,Contact Force - 
% Ambient Fluid index,t (s),Contact 1 Force (N),Contact 2 Force (N),Contact 3 Force (N),Contact 4 Force (N),Contact 5 Force (N),Contact 6 Force (N),Contact 7 Force (N),Contact 8 Force (N),Contact 9 Force (N),Contact 10 Force (N),Contact 11 Force (N),Contact 12 Force (N),Contact 13 Force (N),Contact 14 Force (N),Contact 15 Force (N),Contact 16 Force (N)
1,1.4999999999999999E-5,8.424309447706728E-8,7.172379445993188E-8,1.190163768464248E-6,1.0481638699217979E-6,5.8485521240554506E-8,5.637329624326329E-8,1.1461993269817665E-6,9.39374299239661E-7,4.4898910001625656E-8,5.1144344563275006E-8,1.209292651647427E-6,1.1745819162025285E-6,6.054811680189365E-8,5.497031236636068E-8,1.1844876919604436E-6,1.1575036949765176E-6
2,1.4999999999999999E-5,2.61085929371954E-7,4.1500826889403234E-7,1.8116052737222621E-6,1.3996826803305984E-6,1.9663072996887586E-7,3.3390729435130065E-7,1.7445018056741682E-6,1.3347170886024143E-6,2.0268764756199698E-7,4.049516009061856E-7,1.8738651689397918E-6,1.4931746588383129E-6,1.9512358485245273E-7,3.174580303437792E-7,1.755595263923855E-6,1.458318999395307E-6
