% Model,Relay.mph
% Version,COMSOL 5.5.0.359
% Date,"May 10 2020, 17:15"
% Table,Table 1 - Max Displacement
% Time (s),Total displacement (nm)
0.77,7.628527229864673
0.78,7.790834417634615
0.79,7.9531416072238015
0.8,8.115448798523072
0.81,8.357752672942556
0.8200000000000001,8.60005657778139
0.8300000000000001,8.842360510538867
0.84,9.084664468981066
0.85,9.326968451106213
0.86,9.569272455115273
0.87,9.811576479386934
0.88,10.053880522456168
0.89,10.296184582995872
0.9,10.538488659800983
0.91,10.780792751774781
0.92,11.023096857916974
0.93,11.265400977313332
0.9400000000000001,11.507705109126624
0.9500000000000001,11.750009252588676
0.96,11.992313406993395
0.97,12.234617571690642
0.98,12.476921746080757
0.99,12.719225929609795
1,12.961530121765218
1.01,13.20383432207212
1.02,13.446138530089817
1.03,13.688442745408839
1.04,13.930746967648203
1.05,14.173051196452967
1.06,14.415355431492072
1.07,14.657659672456331
1.08,14.899963919056686
1.09,15.142268171022572
1.1,15.384572428100462
1.11,15.626876690052573
1.12,15.869180956655631
1.1300000000000001,16.184806840756824
1.1400000000000001,16.50043287320039
1.1500000000000001,16.816059045633466
1.16,17.131685350318747
1.17,17.447311780078817
1.18,17.76293832824638
1.19,18.078564988619732
1.2,18.39419175542286
1.21,18.709818623269474
1.22,19.025445587130736
1.23,19.34107264230605
1.24,19.65669978439673
1.25,19.972327009282154
1.26,20.287954313098112
1.27,20.603581692217187
1.28,20.919209143230876
1.29,21.234836662933326
1.3,21.55046424830649
1.31,21.86609189650659
1.32,22.181719604851697
1.33,22.49734737081038
1.34,22.812975191991328
1.35,23.12860306613373
1.36,23.444230991098543
1.37,23.75985896486038
1.3800000000000001,24.075486985500067
1.3900000000000001,24.391115051197758
1.4000000000000001,24.706743160226615
1.41,25.02237131094691
1.42,25.33799950180065
1.43,25.65362773130648
1.44,25.96925599805507
1.45,26.33282886301698
1.46,26.699307722847653
1.47,27.068692596267617
1.48,27.440983501891928
1.49,27.816180458217655
1.5,28.194283483612647
1.51,28.575292596305335
1.52,28.959207814375535
1.53,29.34602915574616
1.54,29.735756638175914
1.55,30.1283902792526
1.56,30.52393009638738
1.57,30.92237610680956
1.58,31.32372832756209
1.59,31.72798677549773
1.6,32.13515146727556
1.61,32.54522241935828
1.62,32.95819964800968
1.6300000000000001,33.374083169292796
1.6400000000000001,33.79287299906832
1.6500000000000001,34.21456915299345
1.6600000000000001,34.639171646521
1.67,35.06668049489898
1.68,35.49709571317025
1.69,35.93041731617265
1.7,36.366645318539184
1.71,36.80577973469862
1.72,37.24782057887611
1.73,37.69276786509411
1.74,38.14062160717351
1.75,38.591381818734675
1.76,39.045048513199006
1.77,39.50162170379027
1.78,39.96110140353625
1.79,40.423487625270475
1.8,40.888780381634
1.81,41.35697968507721
1.82,41.82808554786187
1.83,42.3020979820631
1.84,42.77901699957143
1.85,43.258842612094945
1.86,43.74157483116147
1.87,44.22721366812071
1.8800000000000001,44.71575913414656
1.8900000000000001,45.2072112402393
1.9000000000000001,45.701569997227935
1.9100000000000001,46.19883541577247
1.92,46.69900750636616
1.93,47.202086279337955
1.94,47.70807174485473
1.95,47.94536473810645
1.96,48.174913029016466
1.97,48.39671661310528
1.98,48.610775486236705
1.99,48.81708964460339
2,49.015659084713775
2.0100000000000002,49.20648380337984
2.02,49.38956379770607
2.0300000000000002,49.56489906507932
2.04,49.73248960315949
2.05,49.892335409871166
2.06,50.0444364833959
2.07,50.18879282216535
2.08,50.32546378766628
2.09,50.454411514665495
2.1,50.57561658192648
2.11,50.68907898879748
2.12,50.79479873485509
2.13,50.8927758199012
2.14,50.983010243960194
2.15,51.06550200727702
2.16,51.1402511103155
2.17,51.20725755375729
2.18,51.26652133850137
2.19,51.31804246566393
2.2,51.361967257293635
2.21,51.398501398149236
2.22,51.42730443569958
2.23,51.44837637198234
2.24,51.46171720926078
2.25,51.46732695002684
2.2600000000000002,51.4652055970045
2.27,51.45535315315375
2.2800000000000002,51.41752403343733
2.29,51.3025419685425
2.3000000000000003,51.17474000121907
2.31,51.03411830871872
2.32,50.88067708097412
2.33,50.87171777428731
2.34,50.848935282464254
2.35,50.860557840142064
2.36,50.86621249084697
2.37,50.874891799625665
2.38,50.88357889673763
2.39,50.89238244085488
2.4,50.90118598876613
2.41,50.90998954046943
2.42,50.91879309596281
2.43,50.926084233902735
2.44,50.93209776270392
2.45,50.938111293271405
2.46,50.94412482560455
2.47,50.95013835970272
2.48,50.95615189556532
2.49,50.9621654331917
2.5,50.96817897258125
2.5100000000000002,50.97419251373333
2.52,50.972663241453745
2.5300000000000002,50.96361862479874
2.54,50.954574012132014
2.5500000000000003,50.945535257005304
2.56,50.93660439983244
2.57,50.92767354655413
2.58,50.91874269717243
2.59,50.90998240169892
2.6,50.901231663601905
2.61,50.89248092925141
2.62,50.88373019864936
2.63,50.87497947179769
2.64,50.866228748698354
2.65,50.857703181961064
2.66,50.84925757464152
2.67,50.840811970804516
2.68,50.83236637045178
2.69,50.82392077358506
2.7,50.81547518020608
2.71,50.80702959031657
2.72,50.7985840039183
2.73,50.79013842101298
2.74,50.78169284160239
2.75,50.77324726568824
2.7600000000000002,50.76480169327229
2.77,50.75565196293377
2.7800000000000002,50.7450053327873
2.79,50.734358706113156
2.8000000000000003,50.723712082913515
2.81,50.71306546319056
2.82,50.70241884694647
2.83,50.69177223418346
2.84,50.68112562490372
2.85,50.67047901910944
2.86,50.659832416802814
2.87,50.64918581798603
2.88,50.63853922266132
2.89,50.62789263083088
2.9,50.61724604249688
2.91,50.606599457661574
2.92,50.59595287632714
2.93,50.58530629849581
2.94,50.574667940448634
2.95,50.564090214036064
2.96,50.553512491141824
2.97,50.54293477176815
2.98,50.532357055917245
2.99,50.521779343591305
3,50.51120163479256
3.0100000000000002,50.50062392952323
3.02,50.287494168511905
3.0300000000000002,49.85863544145486
3.04,49.43059684405852
3.0500000000000003,49.002558580177194
3.06,48.57452065862769
3.0700000000000003,48.146483088540315
3.08,47.718445879373
3.09,47.29040904092607
3.1,46.86243721476004
3.11,46.43447403515674
3.12,46.00651126378725
3.13,45.57854891215103
3.14,45.15058699218343
3.15,44.722625516276715
3.16,44.294664497301994
3.17,43.866703948632725
3.18,43.43874388416926
3.19,43.010784318365296
3.2,42.58282526625543
3.21,42.1548667434849
3.22,41.72690876634065
