% Model,Relay.mph
% Version,COMSOL 5.5.0.359
% Date,"May 11 2020, 09:51"
% Table,Table 1 - Max Displacement
% Time,Total displacement (nm)
0,0
0.01,0.0016788974486181539
0.02,0.006719023204798183
0.03,0.015139577767584112
0.04,0.02688294364452788
0.05,0.04371917418522129
0.06,0.06055540472625584
0.07,0.07739163526740891
0.08,0.10754537371916421
0.09,0.1412128770838371
0.1,0.17488038046237778
0.11,0.2085478838480698
0.12,0.24221538723793115
0.13,0.2758828906304354
0.14,0.3095503940247203
0.15,0.36287740442155036
0.16,0.43020637632259656
0.17,0.4975353486662428
0.18,0.564864321294222
0.19,0.6321932941156898
0.2,0.6995222670747762
0.21,0.7668512401352322
0.22,0.8341802132725131
0.23,0.9015091864694056
0.24,0.9688381597134815
0.25,1.0361671329955435
0.26,1.103496106308638
0.27,1.1708250796474118
0.28,1.2381540530076756
0.29,1.3130938892389938
0.3,1.4252887268243981
0.31,1.5374835651093175
0.32,1.64967840395103
0.33,1.7618732432431667
0.34,1.874068082904831
0.35000000000000003,1.986262922873405
0.36,2.0984577630996597
0.37,2.210652603544364
0.38,2.3228474441758626
0.39,2.435042284968336
0.4,2.5472371259005144
0.41000000000000003,2.6594319669547155
0.42,2.771626808116121
0.43,2.883821649372219
0.44,3.0297713883556177
0.45,3.186660742483542
0.46,3.343550102675052
0.47000000000000003,3.500439468114838
0.48,3.657328838127489
0.49,3.814218212148723
0.5,3.9711075897034305
0.51,4.12799697038873
0.52,4.284886353860743
0.53,4.441775739824181
0.54,4.59866512802405
0.55,4.755554518239002
0.56,4.912443910275971
0.5700000000000001,5.069333303965788
0.58,5.234065658609847
0.59,5.416057064834539
0.6,5.601167509919552
0.61,5.789396996302175
0.62,5.980745526376424
0.63,6.1752131024875405
0.64,6.372799726927845
0.65,6.57350540193368
0.66,6.777330129683282
0.67,6.984273912295402
0.68,7.194336751828544
0.6900000000000001,7.407518650280719
0.7000000000000001,7.623819609589593
0.71,7.843239631632997
0.72,8.065778718229682
0.73,8.29143687114029
0.74,8.520214092068498
0.75,8.752110382662305
0.76,8.987125744515376
0.77,9.2252601791685
0.78,9.466513688111073
0.79,9.710886272782608
0.8,9.958377934574274
0.81,10.208988674830449
0.8200000000000001,10.462718494850204
0.8300000000000001,10.719567395888864
0.84,10.979535379159465
0.85,11.242622445834243
0.86,11.508828597046048
0.87,11.778118557150648
0.88,12.050490479490197
0.89,12.325976856526049
0.9,12.604577694694756
0.91,12.88629300029643
0.92,13.171122779494295
0.93,13.459067038314728
0.9400000000000001,13.750125782647803
0.9500000000000001,14.044299018248186
0.96,14.341586750736393
0.97,14.64198898560031
0.98,14.945505728196931
0.99,15.252136983754324
1,15.561882757373727
1.01,15.874743054031812
1.02,16.190717878582998
1.03,16.50980723576192
1.04,16.832011130185844
1.05,17.15732956635727
1.06,17.485762548666433
1.07,17.817310081393913
1.08,18.151972168713193
1.09,18.48974881469323
1.1,18.830640023301015
1.11,19.17464579840414
1.12,19.521766143773235
1.1300000000000001,19.872001063084532
1.1400000000000001,20.22535055992225
1.1500000000000001,20.58181463778102
1.16,20.94139330006824
1.17,21.30408655010641
1.18,21.669894391135365
1.19,22.038816826314537
1.2,22.410853858725098
1.21,22.786005491372084
1.22,23.164271727186495
1.23,23.545652569027286
1.24,23.930148019683365
1.25,24.31775808187549
1.26,24.708482758258164
1.27,25.10232205142144
1.28,25.499275963892703
1.29,25.89934449813839
1.3,26.30252765656569
1.31,26.70882544152412
1.32,27.118237855307186
1.33,27.53076490015388
1.34,27.946406578250166
1.35,28.36516289173047
1.36,28.787033842679058
1.37,29.212019433131452
1.3800000000000001,29.6401196650757
1.3900000000000001,30.07133454045374
1.4000000000000001,30.50566406116258
1.41,30.943108229055582
1.42,31.38366704594363
1.43,31.827340513596226
1.44,32.27412863374267
1.45,32.72378649205867
1.46,33.17650843343435
1.47,33.63233550004547
1.48,34.09126770438388
1.49,34.553305058743106
1.5,35.01844757522048
1.51,35.48669526571936
1.52,35.958048141951345
1.53,36.432506215438636
1.54,36.91006949751646
1.55,37.39073799933548
1.56,37.87451173186431
1.57,38.36139070589204
1.58,38.851374932030794
1.59,39.34446442071831
1.6,39.84065918222047
1.61,40.339959226633994
1.62,40.84236456388899
1.6300000000000001,41.347875203751514
1.6400000000000001,41.85649115582626
1.6500000000000001,42.3682124295591
1.6600000000000001,42.88303903423963
1.67,43.40097097900379
1.68,43.922008272836415
1.69,44.44615092457371
1.7,44.90120733364217
1.71,45.34168375798997
1.72,45.78216078427145
1.73,46.22263839527828
1.74,46.663116574451905
