% Model,Relay.mph
% Version,COMSOL 5.5.0.359
% Date,"May 10 2020, 14:24"
% Table,Table 1 - Max Displacement
% Time (s),abs(w) (nm),Total displacement (nm)
0.9400000000000001,11.784484209198947,11.787582212794634
0.9500000000000001,12.036254740204182,12.039404871409939
0.96,12.290677021596906,12.293879498295682
0.97,12.547751053377125,12.55100609549505
0.98,12.80747683554484,12.81078466499866
0.99,13.069854368100044,13.073215208745692
1,13.334883651042745,13.338297728625056
1.01,13.60256468437294,13.606032226476545
1.02,13.872897468090626,13.876418704092004
1.03,14.145882002195806,14.149457163216528
1.04,14.421518286688478,14.425147605549629
1.05,14.69980632156865,14.70349003274639
1.06,14.980746106836309,14.984484446418634
1.07,15.264337642491464,15.268130848136067
1.08,15.550580928534108,15.554429239427396
1.09,15.839475964964247,15.843379621781471
1.1,16.13102275178188,16.134981996648328
1.11,16.42522128898701,16.4292363654403
1.12,16.722071576579634,16.726142729533038
1.1300000000000001,17.02157361455975,17.02570109026656
1.1400000000000001,17.323727402927354,17.327911448946228
1.1500000000000001,17.628532941682458,17.632773806843765
1.16,17.935990230825045,17.94028816519816
1.17,18.246013829126554,18.25036440182241
1.18,18.5586243867995,18.563024343757657
1.19,18.873877362758947,18.878326505666923
1.2,19.191772757004884,19.196270893699165
1.21,19.512310569537316,19.516857513916662
1.22,19.835490800356254,19.84008637229385
1.23,20.161313449461687,20.165957474716492
1.24,20.48977851685361,20.494470826981058
1.25,20.82088600253204,20.825626434794405
1.26,21.154635906496964,21.159424303773562
1.27,21.491028228748377,21.495864439445747
1.28,21.830062969286292,21.834946847248588
1.29,22.17174012811071,22.176671532530392
1.3,22.51605970522162,22.52103850055061
1.31,22.863021700619022,22.868047756480404
1.32,23.212626114302928,23.217699305403308
1.33,23.564872946273326,23.569993152315973
1.34,23.91976219653023,23.924929302129016
1.35,24.277293865073617,24.282507759667876
1.36,24.63746795190351,24.64272852967383
1.37,25.000284457019898,25.005591616804963
1.3800000000000001,25.365743380422785,25.371097025637223
1.3900000000000001,25.733844722112163,25.739244760665535
1.4000000000000001,26.104588482088047,26.1100348263049
1.41,26.477974660350412,26.483467226891555
1.42,26.854003256899283,26.859541966684166
1.43,27.23267427173465,27.238259049864965
1.44,27.613987704856523,27.619618480541
1.45,27.997943556264886,28.003620262745304
1.46,28.384541825959744,28.390264400438145
1.47,28.78722609121906,28.793000605983494
1.48,29.20274718612567,29.208578213778363
1.49,29.591378016208107,29.597262310534983
1.5,29.669175796622437,29.67507492202237
1.51,29.565440321397695,29.571331796254054
1.52,29.28017159053387,29.286033007182798
1.53,28.8771028894779,28.882917420910857
1.54,28.5352175124599,28.540983567041927
1.55,28.125286546682695,28.130991498261547
1.56,27.647309992146305,27.652941229545757
1.57,27.17909727015224,27.184661943578252
1.58,26.814305663067017,26.819834776471726
1.59,26.469124101349056,26.47462750435247
1.6,26.138340185951208,26.143824758699527
1.61,25.772886867649774,25.778331516941225
1.62,25.407433549348337,25.412838467682047
1.6300000000000001,25.041980231046903,25.04734561934889
1.6400000000000001,24.683911080917813,24.689230149263373
1.6500000000000001,24.327702166807327,24.332973279466835
1.6600000000000001,23.971493252696842,23.97671653264321
1.67,23.615284338586356,23.620459914356736
1.68,23.259075424475867,23.26420343051248
1.69,22.90286651036538,22.907947087382833
1.7,22.551484516744658,22.5565169865403
1.71,22.221801256148837,22.226782011548483
1.72,21.89211799555301,21.89704711017238
1.73,21.56243473495719,21.56731228578845
1.74,21.232751474361365,21.237577541982834
1.75,20.903068213765536,20.9078428825679
1.76,20.573384953169715,20.57810831160037
1.77,20.24370169257389,20.2483738334012
1.78,19.914018431978068,19.918639452577484
1.79,19.584335171382243,19.588905174046495
1.8,19.254651910786418,19.259171003062253
1.81,18.924968650190596,18.929436945244884
1.82,18.59528538959477,18.599703006613016
1.83,18.265602128998946,18.26996919361978
1.84,17.986108210689903,17.990420820958022
1.85,17.70934652690983,17.713604488965547
1.86,17.432584843129753,17.436788180921127
1.87,17.155823159349683,17.15997189798374
1.8800000000000001,16.879061475569607,16.883155641388324
1.8900000000000001,16.602299791789537,16.60633941245221
1.9000000000000001,16.325538108009457,16.32952321258201
1.9100000000000001,16.04877642422939,16.0527070432814
1.92,15.772014740449318,15.775890906159557
1.93,15.49525305666925,15.499074802940648
1.94,15.218491372889172,15.222258735474226
